Date,Open,High,Low,Close,Volume
2017-03-21,262.83,264.8,250.24,250.68,6908554
2017-03-22,251.56,255.07,250.51,255.01,4059297
2017-03-23,255.39,257.67,253.3,254.78,3320245
2017-03-24,255.7,263.89,255.01,263.16,5647253
2017-03-27,260.6,270.57,259.75,270.22,6230795
2017-03-28,277.02,280.68,275.0,277.45,7987604
2017-03-29,278.34,279.6,275.54,277.38,3676157
2017-03-30,278.04,282.0,277.21,277.92,4148426
2017-03-31,278.73,279.68,276.32,278.3,3294640
2017-04-03,286.9,299.0,284.58,298.52,13888618
2017-04-04,296.89,304.81,294.53,303.7,10134556
2017-04-05,302.04,304.88,294.2,295.0,7880938
2017-04-06,296.88,301.94,294.1,298.7,5520588
2017-04-07,297.5,302.69,297.15,302.54,4579613
2017-04-10,309.15,313.73,308.71,312.39,7664458
2017-04-11,313.38,313.47,305.5,308.71,5724577
2017-04-12,306.34,308.45,296.32,296.84,6050682
2017-04-13,296.7,307.39,295.3,304.0,9284634
2017-04-17,302.7,304.0,298.68,301.44,4138736
2017-04-18,299.7,300.84,297.9,300.25,3035698
2017-04-19,302.46,306.62,302.11,305.52,3898024
2017-04-20,306.51,309.15,300.23,302.51,6149352
2017-04-21,302.0,306.4,300.42,305.6,4509756
2017-04-24,309.22,310.55,306.02,308.03,5083505
2017-04-25,308.0,313.98,305.86,313.79,6737708
2017-04-26,312.37,314.5,309.0,310.17,4695044
2017-04-27,311.69,313.09,307.5,308.63,3468569
2017-04-28,309.83,314.8,308.0,314.07,4505478
2017-05-01,314.88,327.25,314.81,322.83,8829565
2017-05-02,324.0,327.66,316.56,318.89,5382777
2017-05-03,317.67,321.53,310.45,311.02,7133365
2017-05-04,307.44,307.77,290.76,295.46,14152008
2017-05-05,298.0,308.55,296.8,308.35,8177347
2017-05-08,310.9,313.79,305.82,307.19,7006471
2017-05-09,309.38,321.99,309.1,321.26,9676537
2017-05-10,321.56,325.5,318.12,325.22,5741607
2017-05-11,323.4,326.0,319.6,323.1,4753819
2017-05-12,325.48,327.0,321.53,324.81,4121612
2017-05-15,318.38,320.2,312.53,315.88,7622004
2017-05-16,317.59,320.06,315.14,317.01,4152484
2017-05-17,314.39,314.63,305.5,306.11,6711940
2017-05-18,307.0,313.94,305.31,313.06,5653801
2017-05-19,315.5,316.5,310.2,310.83,4687572
2017-05-22,312.8,314.37,306.8,310.35,4329178
2017-05-23,310.46,310.73,303.48,303.86,4318354
2017-05-24,306.51,311.0,305.4,310.22,5041692
2017-05-25,311.02,316.97,307.81,316.83,5013963
2017-05-26,317.28,325.49,316.31,325.14,7802199
2017-05-30,326.0,336.28,325.76,335.1,7782916
2017-05-31,337.69,342.89,335.16,341.01,9963444
2017-06-01,344.0,344.88,337.29,340.37,7607996
2017-06-02,339.77,342.88,335.93,339.85,5590239
2017-06-05,338.5,348.44,334.21,347.32,6784368
2017-06-06,344.7,359.49,339.97,352.85,11086798
2017-06-07,356.34,360.5,355.14,359.65,9397959
2017-06-08,363.75,371.9,360.22,370.0,9061496
2017-06-09,374.42,376.87,354.8,357.32,17261435
2017-06-12,357.99,364.5,350.62,359.01,10517660
2017-06-13,367.62,376.0,366.61,375.95,11807920
2017-06-14,381.08,384.25,376.31,380.66,12818429
2017-06-15,372.5,375.46,366.49,375.34,10426469
2017-06-16,377.98,378.01,370.1,371.4,6730973
2017-06-19,375.0,376.7,367.8,369.8,6549332
2017-06-20,376.67,378.88,369.73,372.24,7438701
2017-06-21,374.35,376.99,368.02,376.4,4923210
2017-06-22,377.99,385.0,373.57,382.61,7529778
2017-06-23,382.45,386.99,379.34,383.45,6445758
2017-06-26,386.69,386.95,373.1,377.49,6604099
2017-06-27,376.4,376.4,362.02,362.37,6996399
2017-06-28,366.68,371.74,362.52,371.24,6302463
2017-06-29,370.61,371.0,354.1,360.75,8221038
2017-06-30,363.71,366.77,359.62,361.61,5848521
2017-07-03,370.24,371.35,351.5,352.62,6305401
2017-07-05,347.2,347.24,326.33,327.09,17046701
2017-07-06,317.26,320.79,306.3,308.83,19324495
2017-07-07,313.5,317.0,307.38,313.22,14176915
2017-07-10,312.9,317.94,303.13,316.05,13820889
2017-07-11,316.0,327.28,314.3,327.22,11559402
2017-07-12,330.4,333.1,324.5,329.52,10346127
2017-07-13,330.11,331.6,319.97,323.41,8594466
2017-07-14,323.19,328.42,321.22,327.78,5625211
2017-07-17,325.54,327.1,313.45,319.57,9876912
2017-07-18,317.5,329.13,315.66,328.24,6373720
2017-07-19,328.23,331.65,323.22,325.26,6357014
2017-07-20,326.9,330.22,324.2,329.92,5166188
2017-07-21,329.46,331.26,325.8,328.4,4901606
2017-07-24,330.24,343.4,330.01,342.52,8637082
2017-07-25,345.0,345.6,334.15,339.6,6989197
2017-07-26,340.36,345.5,338.12,343.85,4820790
2017-07-27,346.0,347.5,326.29,334.46,8302405
2017-07-28,336.89,339.6,332.51,335.07,4880414
2017-07-31,335.5,341.49,321.04,323.47,8535136
2017-08-01,323.0,324.45,316.13,319.57,8303102
2017-08-02,318.94,327.12,311.22,325.89,13091462
2017-08-03,345.33,350.0,343.15,347.09,13535033
2017-08-04,347.0,357.27,343.3,356.91,9268909
2017-08-07,357.35,359.48,352.75,355.17,6324480
2017-08-08,357.53,368.58,357.4,365.22,7449837
2017-08-09,361.0,370.0,358.95,363.53,6892096
2017-08-10,361.6,366.65,354.66,355.4,7092858
2017-08-11,356.97,361.26,353.62,357.87,4365783
2017-08-14,364.63,367.66,362.6,363.8,4519186
2017-08-15,365.2,365.49,359.37,362.33,3085088
2017-08-16,363.0,366.5,362.52,362.91,3413773
2017-08-17,361.21,363.3,351.59,351.92,5027660
2017-08-18,352.91,354.0,345.8,347.46,5408183
2017-08-21,345.82,345.82,331.85,337.86,6495424
2017-08-22,341.13,342.24,337.37,341.35,4321966
2017-08-23,338.99,353.49,338.3,352.77,4954504
2017-08-24,352.52,356.66,349.74,352.93,4584687
2017-08-25,354.24,355.69,347.3,348.05,3483956
2017-08-28,347.28,347.35,339.72,345.66,3763956
2017-08-29,339.48,349.05,338.75,347.36,4073675
2017-08-30,349.67,353.47,347.0,353.18,3412943
2017-08-31,353.55,358.44,352.82,355.9,4072795
2017-09-01,356.12,357.59,353.69,355.4,3049546
2017-09-05,353.8,355.49,345.89,349.59,3848382
2017-09-06,349.5,350.98,341.56,344.53,4091351
2017-09-07,345.98,352.48,343.45,350.61,4239213
2017-09-08,348.99,349.78,342.3,343.4,3263508
2017-09-11,351.35,363.71,350.0,363.69,7667055
2017-09-12,364.49,368.76,360.4,362.75,5972907
2017-09-13,363.82,368.07,359.59,366.23,4185231
2017-09-14,364.33,377.96,362.63,377.64,7202524
2017-09-15,374.51,380.0,372.7,379.81,5420496
2017-09-18,380.25,389.61,377.68,385.0,7187980
2017-09-19,380.0,382.39,373.57,375.1,6451886
2017-09-20,373.0,378.25,371.07,373.91,4919052
2017-09-21,374.9,376.83,364.51,366.48,4618190
2017-09-22,366.49,369.9,350.88,351.09,8159418
2017-09-25,353.15,357.47,342.88,344.99,7605946
2017-09-26,350.93,351.24,340.9,345.25,7156274
2017-09-27,349.9,351.49,340.5,340.97,6020950
2017-09-28,339.88,342.75,335.4,339.6,5319617
2017-09-29,341.86,344.68,338.6,341.1,5107082
2017-10-02,342.52,343.7,335.51,341.53,5286774
2017-10-03,335.9,348.55,331.28,348.14,10153596
2017-10-04,351.25,358.62,349.6,355.01,8163543
2017-10-05,356.0,357.44,351.35,355.33,4171675
2017-10-06,353.1,360.1,352.25,356.88,4297474
2017-10-09,349.65,351.75,342.67,342.94,7493654
2017-10-10,346.8,355.63,345.53,355.59,6978495
2017-10-11,353.89,357.6,351.15,354.6,4500831
2017-10-12,352.95,359.78,352.64,355.68,4087048
2017-10-13,356.98,358.49,353.68,355.57,3540533
2017-10-16,353.76,354.48,347.16,350.6,5375486
2017-10-17,350.91,356.22,350.07,355.75,3293345
2017-10-18,355.97,363.0,354.13,359.65,4939074
2017-10-19,355.56,357.15,348.2,351.81,5061843
2017-10-20,352.69,354.55,344.34,345.1,4930395
2017-10-23,349.88,349.95,336.25,337.02,5747346
2017-10-24,338.8,342.8,336.16,337.34,4491672
2017-10-25,336.7,337.5,323.56,325.84,8594073
2017-10-26,327.78,330.23,323.2,326.17,5023500
2017-10-27,319.75,324.59,316.66,320.87,6979704
2017-10-30,319.18,323.78,317.25,320.08,4254378
2017-10-31,320.23,331.95,320.18,331.53,5672347
2017-11-01,332.25,332.61,320.26,321.08,8457336
2017-11-02,300.13,308.69,292.63,299.26,19791416
2017-11-03,299.5,306.25,295.13,306.09,8893974
2017-11-06,307.0,307.5,299.01,302.78,6486009
2017-11-07,301.02,306.5,300.03,306.05,5294274
2017-11-08,305.5,306.89,301.3,304.39,4725271
2017-11-09,302.5,304.46,296.3,302.99,5447147
2017-11-10,302.5,308.36,301.85,302.99,4625429
2017-11-13,300.13,316.8,299.11,315.4,7584944
2017-11-14,315.0,316.35,306.9,308.7,5676076
2017-11-15,306.01,312.49,301.5,311.3,5978665
2017-11-16,313.99,318.14,311.3,312.5,5822073
2017-11-17,325.67,326.67,313.15,315.05,13735139
2017-11-20,313.79,315.5,304.75,308.74,8247650
2017-11-21,310.86,318.23,308.71,317.81,7261273
2017-11-22,316.77,317.42,311.84,312.6,4917636
2017-11-24,313.79,316.41,311.0,315.55,3244065
2017-11-27,313.25,317.34,309.51,316.81,4555894
2017-11-28,316.36,320.0,313.92,317.55,4949491
2017-11-29,317.3,318.0,301.23,307.54,8767398
2017-11-30,308.56,310.7,304.54,308.85,4351587
2017-12-01,305.44,310.32,305.05,306.53,4292868
2017-12-04,306.5,308.26,300.61,305.2,5835140
2017-12-05,302.0,308.0,301.0,303.7,4646520
2017-12-06,300.1,313.39,300.0,313.26,7195341
2017-12-07,312.0,318.63,311.05,311.24,4780597
2017-12-08,314.6,316.98,311.26,315.13,3468458
2017-12-11,314.63,329.01,313.75,328.91,7937981
2017-12-12,330.45,341.44,330.03,341.03,8733199
2017-12-13,340.93,344.22,336.5,339.03,6221461
2017-12-14,341.01,347.44,336.9,337.89,5799916
2017-12-15,342.04,343.9,335.76,343.45,6933199
2017-12-18,344.9,346.73,337.58,338.87,5476166
2017-12-19,340.26,341.49,330.3,331.1,6824971
2017-12-20,332.69,333.1,325.04,328.98,5953800
2017-12-21,329.59,333.74,327.21,331.66,4385222
2017-12-22,329.51,330.92,324.82,325.2,4215807
2017-12-26,323.83,323.94,316.58,317.29,4378413
2017-12-27,316.0,317.68,310.75,311.64,4712111
2017-12-28,311.75,315.82,309.54,315.36,4316347
2017-12-29,316.18,316.41,310.0,311.35,3777155
2018-01-02,312.0,322.11,311.0,320.53,4352241
2018-01-03,321.0,325.25,315.55,317.25,4521527
2018-01-04,312.87,318.55,305.68,314.62,9946304
2018-01-05,316.62,317.24,312.0,316.58,4591180
2018-01-08,316.0,337.02,315.5,336.41,9859435
2018-01-09,335.16,338.8,327.4,333.69,7146631
2018-01-10,332.2,337.0,330.0,334.8,4309926
2018-01-11,335.24,344.81,333.26,337.95,6645484
2018-01-12,338.63,340.41,333.67,336.22,4825059
2018-01-16,337.54,345.0,334.8,340.06,6474251
2018-01-17,340.47,349.0,339.75,347.16,7103505
2018-01-18,345.67,352.3,343.74,344.57,5685845
2018-01-19,345.0,350.59,342.6,350.02,4888303
2018-01-22,349.4,357.83,349.2,351.56,6210360
2018-01-23,360.0,360.5,351.0,352.79,5465414
2018-01-24,354.58,354.75,343.52,345.89,5287478
2018-01-25,348.27,349.2,336.4,337.64,6740303
2018-01-26,341.5,344.0,335.71,342.85,4539356
2018-01-29,339.85,350.85,338.28,349.53,4747149
2018-01-30,345.14,348.27,342.17,345.82,4717700
2018-01-31,347.51,356.19,345.19,354.31,6214069
2018-02-01,351.0,359.66,348.63,349.25,4197687
2018-02-02,348.44,351.95,340.51,343.75,3704836
2018-02-05,337.97,344.47,333.0,333.13,4464147
2018-02-06,325.21,336.22,323.5,333.97,5088438
2018-02-07,338.99,346.0,335.66,345.0,6969239
2018-02-08,343.31,348.62,314.6,315.23,10314573
2018-02-09,319.93,320.98,294.76,310.42,12933721
